snapped_at,price,market_cap,total_volume,log_returns
2013-08-09 00:00:00+00:00,103.4,1192028805.0,0.0,0.016853016494559548
2013-08-10 00:00:00+00:00,102.71,1184605785.0,0.0,-0.006695478896615924
2013-08-11 00:00:00+00:00,103.77,1197378682.0,0.0,0.010267428439474001
2013-08-12 00:00:00+00:00,105.18,1214268916.0,0.0,0.013496256544011266
2013-08-13 00:00:00+00:00,106.068,1225008501.0,0.0,0.008407229705612957
2013-08-14 00:00:00+00:00,111.621,1289602061.0,0.0,0.051028806421271763
2013-08-15 00:00:00+00:00,111.87,1292943118.0,0.0,0.002228278570756015
2013-08-16 00:00:00+00:00,109.867,1270257534.0,0.0,-0.018066939515652202
2013-08-17 00:00:00+00:00,112.74,1304015666.0,0.0,0.02581373931024188
2013-08-18 00:00:00+00:00,114.4,1323762440.0,0.0,0.014616796292268579
2013-08-19 00:00:00+00:00,118.782,1375023402.0,0.0,0.037588801351751584
2013-08-20 00:00:00+00:00,120.5,1395441212.0,0.0,0.01435987263326055
2013-08-21 00:00:00+00:00,121.51,1407757143.0,0.0,0.008346810989810763
2013-08-22 00:00:00+00:00,122.499,1419858347.0,0.0,0.008106302765635353
2013-08-23 00:00:00+00:00,120.0,1391517000.0,0.0,-0.020611123904109865
2013-08-24 00:00:00+00:00,120.44,1397179275.0,0.0,0.003659960831487127
2013-08-25 00:00:00+00:00,122.0,1415749000.0,0.0,0.012869341119723474
2013-08-26 00:00:00+00:00,122.04,1416676932.0,0.0,0.00032781511521237574
2013-08-27 00:00:00+00:00,125.67,1459371151.0,0.0,0.02931056377858416
2013-08-28 00:00:00+00:00,123.02,1429111038.0,0.0,-0.02131247984683101
2013-08-29 00:00:00+00:00,123.44,1434594992.0,0.0,0.00340826427468324
2013-08-30 00:00:00+00:00,129.2,1502172870.0,0.0,0.045606383293596044
2013-08-31 00:00:00+00:00,137.76,1602407100.0,0.0,0.06415144933091921
2013-09-01 00:00:00+00:00,138.17,1607960283.0,0.0,0.00297177038915748
2013-09-02 00:00:00+00:00,137.17,1597132036.0,0.0,-0.0072637785782625865
2013-09-03 00:00:00+00:00,137.51,1601702729.0,0.0,0.0024756092445377457
2013-09-04 00:00:00+00:00,135.21,1575534525.0,0.0,-0.016867516364186607
2013-09-05 00:00:00+00:00,129.96,1514888487.0,0.0,-0.03960241456976709
2013-09-06 00:00:00+00:00,126.13,1470861842.0,0.0,-0.029913589701797864
2013-09-07 00:00:00+00:00,123.73,1443353756.0,0.0,-0.019211348873217363
2013-09-08 00:00:00+00:00,121.77,1420952396.0,0.0,-0.015967752706968333
2013-09-09 00:00:00+00:00,126.4,1475596760.0,0.0,0.037317462193841
2013-09-10 00:00:00+00:00,127.78,1492304286.0,0.0,0.010858553461440112
2013-09-11 00:00:00+00:00,131.65,1538132775.0,0.0,0.029836850768121218
2013-09-12 00:00:00+00:00,134.22,1568874092.0,0.0,0.019333358787774785
2013-09-13 00:00:00+00:00,135.05,1579271324.0,0.0,0.0061648355085315
2013-09-14 00:00:00+00:00,131.39,1537187451.0,0.0,-0.02747508058489403
2013-09-15 00:00:00+00:00,129.95,1520967287.0,0.0,-0.011020238566231506
2013-09-16 00:00:00+00:00,131.48,1539430293.0,0.0,0.011704987708519509
2013-09-17 00:00:00+00:00,131.31,1538014334.0,0.0,-0.0012938089251048653
2013-09-18 00:00:00+00:00,132.06,1547280990.0,0.0,0.005695424895511701
2013-09-19 00:00:00+00:00,130.23,1526484433.0,0.0,-0.013954246786813467
2013-09-20 00:00:00+00:00,128.57,1507618248.0,0.0,-0.01282861488345438
2013-09-21 00:00:00+00:00,126.78,1487211807.0,0.0,-0.014020202240137052
2013-09-22 00:00:00+00:00,128.37,1506534274.0,0.0,0.012463418240814782
2013-09-23 00:00:00+00:00,126.73,1487984454.0,0.0,-0.012857880002862383
2013-09-24 00:00:00+00:00,126.09,1481135098.0,0.0,-0.00506290140883776
2013-09-25 00:00:00+00:00,127.99,1504122481.0,0.0,0.014956198182565314
2013-09-26 00:00:00+00:00,128.02,1505025524.0,0.0,0.00023436584615715684
2013-09-27 00:00:00+00:00,131.84,1550524096.0,0.0,0.029402564447304214
